task	samples	sha256
boolean_expressions	250	ea6c754ec005e2d3f2d085d349a740f593b5764f32ea4638ffed4cfc0061b12a
causal_judgement	187	6e8bca44dd402008ed41c07a3d0a1d5e7b03db7001a7e002fcdf4c60985ea081
date_understanding	250	0148d4ac5fca05b2f82373e5fef7208e15363b9c6079493034d77b3dab496bf5
disambiguation_qa	250	cf06df9ebf911b883671cb1b35d3fbd1a1c306b19b9e9a012407e596c85fe8c6
formal_fallacies	250	4c1adb664821157faade1d4153685403afcc02648f3c180a608a18f17f589629
geometric_shapes	250	07be68a124420caa2ebc0b2c858ad79fc55c5c8806170e496e1e17ebfb11f31c
hyperbaton	250	b6d7f55c75f5d02f2987a4f3123802dfa093872089a56a334144aae8a7264fdc
logical_deduction_five_objects	250	d2df31394b903b7f0e085d42a69572a092987856eac076799017d70ef266fa8f
logical_deduction_seven_objects	250	2896c7e3482eea318dd37bcc370d24ec3cc91e8374c1784287b5dbd38a529e33
logical_deduction_three_objects	250	e590fae72e3a6041fbd23bd8ff6b74baf44ca563f6ba40a041c55e7b867c1681
movie_recommendation	250	a8b53a87ee21a865b7248e694f388a9b8f7cf6b839b11d44796a2dd3fc088983
navigate	250	b7944dfd3c81da5c4815bd75b00d6fa3c64140823498e78ed496f4c3d36f7f0d
object_counting	250	8acef14dbbdd40d2326ef7755750b6b5fe919fef06276af1bab3f1c297f022ff
penguins_in_a_table	146	bb87ee449698eee51215e025a453b1bcb2f5e6589c2063b2c79e68b8f0655228
reasoning_about_colored_objects	250	0a8850cf95166020fce7a78244026ceedd7ea839302471512b4f8744e85a6a49
ruin_names	250	b6f723aef2bafdd4c7bfc3c7e0329c7e8a8279391a609969c8ed76c9319f5f7f
salient_translation_error_detection	250	becf3eb8dd53c821a555ecd5c1334ecd93eb25f980e63be963c518e7138de5da
snarks	178	54a0661fe2de06167645a4965e6bcf963c4ba307e76262a7c750998b0e3d0d0e
sports_understanding	250	63ca262858f6176864515cd8cf53cdaa40839ebecc155b726d77930855d167bf
temporal_sequences	250	92a1189faaa84aacc4c405aaa13f13f48c2992eb884772eedb622505252baef5
tracking_shuffled_objects_five_objects	250	2063a46a4fb484236ed4310523606543a3e1dd4a4dc34eda65d407910ece25a5
tracking_shuffled_objects_seven_objects	250	b59fd05b850c37cf57cb514ae1e6975c00b1638ade2291722056b2af3c54084d
tracking_shuffled_objects_three_objects	250	546cc7bf10c6a01a6a4c17ae28a4966485f21f29fd5d111f37858ec78e354f6b
web_of_lies	250	3e60323f8514a107fdb4edf35f8832a9171c5a09c0eaa47823559de905e8ab8b
